participant_id,source_row,duration_seconds,finished,possible_duplicate_submission,stimulus_set,item_position_in_source_block,source_column_number,condition_code,polarity,continuation_type,response_text
P020,21,264,true,false,5,6,55,neg_filler,negative,filler,Komşusuna
P020,21,264,true,false,5,7,56,neg_reduplication,negative,reduplication,Hızlıca
P020,21,264,true,false,5,8,57,aff_manner,affirmative,manner,Annesi
P021,22,1005,true,false,1,1,18,neg_reduplication,negative,reduplication,bayrak
P021,22,1005,true,false,1,2,19,aff_manner,affirmative,manner,yüksek sesle
P021,22,1005,true,false,1,3,20,neg_filler,negative,filler,bir parça et
P021,22,1005,true,false,1,4,21,neg_temporal,negative,temporal,eve gelince
P021,22,1005,true,false,1,5,22,aff_reduplication,affirmative,reduplication,buz dolabında
P021,22,1005,true,false,1,6,23,aff_filler,affirmative,filler,şampuanları
P021,22,1005,true,false,1,7,24,neg_manner,negative,manner,karayolda
P021,22,1005,true,false,1,8,25,aff_temporal,affirmative,temporal,gece
P022,23,210,true,false,5,1,50,neg_temporal,negative,temporal,Dün
P022,23,210,true,false,5,2,51,aff_reduplication,affirmative,reduplication,Sesli
P022,23,210,true,false,5,3,52,aff_filler,affirmative,filler,yenilerini
P022,23,210,true,false,5,4,53,neg_manner,negative,manner,hüngür hüngür
P022,23,210,true,false,5,5,54,aff_temporal,affirmative,temporal,yeni
P022,23,210,true,false,5,6,55,neg_filler,negative,filler,amcasına
P022,23,210,true,false,5,7,56,neg_reduplication,negative,reduplication,hızlı
P022,23,210,true,false,5,8,57,aff_manner,affirmative,manner,sessizce
P023,24,266,true,false,1,1,18,neg_reduplication,negative,reduplication,motoru
P023,24,266,true,false,1,2,19,aff_manner,affirmative,manner,sesli
P023,24,266,true,false,1,3,20,neg_filler,negative,filler,et
P023,24,266,true,false,1,4,21,neg_temporal,negative,temporal,evde
P023,24,266,true,false,1,5,22,aff_reduplication,affirmative,reduplication,süt
P023,24,266,true,false,1,6,23,aff_filler,affirmative,filler,peynirleri
P023,24,266,true,false,1,7,24,neg_manner,negative,manner,yavaşça
P023,24,266,true,false,1,8,25,aff_temporal,affirmative,temporal,gece
P024,25,127,true,false,2,1,26,aff_reduplication,affirmative,reduplication,Mürettebat
P024,25,127,true,false,2,2,27,neg_manner,negative,manner,Bağırarak
P024,25,127,true,false,2,3,28,aff_filler,affirmative,filler,Et
P024,25,127,true,false,2,4,29,aff_temporal,affirmative,temporal,Kız
P024,25,127,true,false,2,5,30,neg_reduplication,negative,reduplication,Usul usul
P024,25,127,true,false,2,6,31,neg_filler,negative,filler,Ekmekleri
P024,25,127,true,false,2,7,32,aff_manner,affirmative,manner,Ali
P024,25,127,true,false,2,8,33,neg_temporal,negative,temporal,Akşam
P025,26,84,true,false,5,1,50,neg_temporal,negative,temporal,iskele
P025,26,84,true,false,5,2,51,aff_reduplication,affirmative,reduplication,müdür
P025,26,84,true,false,5,3,52,aff_filler,affirmative,filler,o
P025,26,84,true,false,5,4,53,neg_manner,negative,manner,annesi
P025,26,84,true,false,5,5,54,aff_temporal,affirmative,temporal,şimdi
P025,26,84,true,false,5,6,55,neg_filler,negative,filler,annesi
P025,26,84,true,false,5,7,56,neg_reduplication,negative,reduplication,bisiklet
P025,26,84,true,false,5,8,57,aff_manner,affirmative,manner,çocuk
P026,27,132,true,false,1,1,18,neg_reduplication,negative,reduplication,Çok az
P026,27,132,true,false,1,2,19,aff_manner,affirmative,manner,Sesli
P026,27,132,true,false,1,3,20,neg_filler,negative,filler,Sut
P026,27,132,true,false,1,4,21,neg_temporal,negative,temporal,Bugün
P026,27,132,true,false,1,5,22,aff_reduplication,affirmative,reduplication,Normlade
P026,27,132,true,false,1,6,23,aff_filler,affirmative,filler,Çikolataları
P026,27,132,true,false,1,7,24,neg_manner,negative,manner,Yavaşvq
P026,27,132,true,false,1,8,25,aff_temporal,affirmative,temporal,Gece
P027,28,204,true,true,6,1,58,aff_temporal,affirmative,temporal,Motoru
P027,28,204,true,true,6,2,59,neg_reduplication,negative,reduplication,Sesli
P027,28,204,true,true,6,3,60,aff_filler,affirmative,filler,Yenileri
P027,28,204,true,true,6,4,61,aff_manner,affirmative,manner,Sesli
P027,28,204,true,true,6,5,62,neg_temporal,negative,temporal,Şimdi
P027,28,204,true,true,6,6,63,neg_filler,negative,filler,Eşyasıno
P027,28,204,true,true,6,7,64,aff_reduplication,affirmative,reduplication,Hızlı
P027,28,204,true,true,6,8,65,neg_manner,negative,manner,Sessiz
P028,29,123,true,true,3,1,34,neg_manner,negative,manner,Yavaş yavaş
P028,29,123,true,true,3,2,35,aff_temporal,affirmative,temporal,Derste
P028,29,123,true,true,3,3,36,aff_filler,affirmative,filler,Yenileri
P028,29,123,true,true,3,4,37,neg_reduplication,negative,reduplication,Sessiz
P028,29,123,true,true,3,5,38,aff_manner,affirmative,manner,Yavaş yavaş
P028,29,123,true,true,3,6,39,neg_filler,negative,filler,Eşyasını
